dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
0,0,1.516,0,0,0,0,0,0,130,129,4
1,0,1.516,0,0,0,0,0,0,0,0,0
2,0,1.516,0,0,0,0,0,0,0,0,0
0,1.516,1.519,0,0,0,0,0,0,130,128,2
1,1.516,1.519,0,0,0,0,0,0,2,1,4
2,1.516,1.519,0,0,0,0,0,0,0,0,0
0,1.519,1.539,0,0,0,0,0,0,130,127,1.17157
1,1.519,1.539,0,0,0,0,0,0,4,2,2
2,1.519,1.539,0,0,0,0,0,0,0,0,0
0,1.539,3.293,0,0,0,0,0,0,130,126,1.17157
1,1.539,3.293,0,0,0,0,0,0,6,3,1.17157
2,1.539,3.293,0,0,0,0,0,0,0,0,0
0,3.293,3.337,0,0,0,0,0,0,130,125,1.17157
1,3.293,3.337,0,0,0,0,0,0,7,3,1.17157
2,3.293,3.337,0,0,0,0,0,0,0,0,0
0,3.337,3.428,0,0,0,0,0,0,130,124,1.03761
1,3.337,3.428,0,0,0,0,0,0,9,4,1.17157
2,3.337,3.428,0,0,0,0,0,0,0,0,0
0,3.428,3.459,0,0,0,0,0,0,130,123,0.657077
1,3.428,3.459,0,0,0,0,0,0,11,5,1.03761
2,3.428,3.459,0,0,0,0,0,0,0,0,0
0,3.459,3.51,0,0,0,0,0,0,130,122,0.492097
1,3.459,3.51,0,0,0,0,0,0,12,5,0.657077
2,3.459,3.51,0,0,0,0,0,0,0,0,0
0,3.51,3.575,0,0,0,0,0,0,130,121,0.415774
1,3.51,3.575,0,0,0,0,0,0,14,6,0.492098
2,3.51,3.575,0,0,0,0,0,0,0,0,0
0,3.575,3.593,0,0,0,0,0,0,130,120,0.415775
1,3.575,3.593,0,0,0,0,0,0,15,6,0.415775
2,3.575,3.593,0,0,0,0,0,0,0,0,0
0,3.593,3.608,0,0,0,0,0,0,130,119,0.350031
1,3.593,3.608,0,0,0,0,0,0,16,6,0.415775
2,3.593,3.608,0,0,0,0,0,0,0,0,0
0,3.608,3.625,0,0,0,0,0,0,130,118,0.310791
1,3.608,3.625,0,0,0,0,0,0,18,7,0.350032
2,3.608,3.625,0,0,0,0,0,0,0,0,0
0,3.625,3.698,0,0,0,0,0,0,130,117,0.310791
1,3.625,3.698,0,0,0,0,0,0,19,7,0.310792
2,3.625,3.698,0,0,0,0,0,0,0,0,0
0,3.698,3.71,0,0,0,0,0,0,130,116,0.286688
1,3.698,3.71,0,0,0,0,0,0,21,8,0.310791
2,3.698,3.71,0,0,0,0,0,0,0,0,0
